"token","german","english"
"val_Empty","Bitte füllen Sie alle Felder aus.","Please fill all fields."
"val_plural1","Die Eingaben ","The inputs "
"val_plural3"," sind keine gültigen Zahlen. Gültige Zahlen müssen als Dezimaltrennzeichen einen Punkt (und kein Komma) nutzen und dürfen keine Buchstaben enthalten. Die Analyse wird nicht durchgeführt."," are no valid numbers. Valid numbers have to use a point as decimal mark (not a comma) and must not contain letters. The analysis will not be executed."
"val_plural2"," und "," and "
"val_singular1","Die Eingabe ","The input"
"val_singular2"," ist keine gültige Zahl. Gültige Zahlen müssen als Dezimaltrennzeichen einen Punkt (und kein Komma) nutzen und dürfen keine Buchstaben enthalten. Die Analyse wird nicht durchgeführt."," is no valid number. Valid numbers have to use a point as decimal mark (not a comma) and must not contain letters. The analysis will not be executed."
"edit_title","Plot anpassen","Edit Plot"
"edit_texts","Überschrift","Titles"
"edit_main","Überschrift","Title"
"edit_sub","Untertitel","Subtitle"
"edit_axis","Achsenbeschriftungen","Axis labels"
"edit_yaxis",". y-Achse",". y-axis"
"edit_xaxis","x-Achse","x-axis"
"edit_size","Größe","Size"
"edit_height","Höhe","Height"
"edit_width","Breite","Width"
"edit_textsize","Textvergrößerung","Textsize"
"edit_symbolsize","Symbolvergrößerung","Symbolsize"
"edit_zoom","Auf SOLL-Bereich zoomen","Zoom into the upper/lower limit area"
"edit_apply","Anwenden","Apply"
"edit_ok","OK","OK"
"plot_main","Resultat Ausschussanalyse","Result of Piece Analysis"
"plot_sub","Erstellt am","Created at the"
"res_title","Resultat Ausschussanalyse","Result Piece Analysis"
"res_summary","Zusammenfassung","Summary"
"res_save","Speichern...","Save..."
"in_title","Ausschussanalysetool","Piece Analysis Tool"
"in_input","Daten einlesen","Input data"
"in_limits","SOLL-Grenzen festlegen","Specify limits"
"in_opt","Einstellungen","Settings"
"in_choosefile","Wählen Sie eine Datei aus...","Choose a file..."
"in_browse","Durchsuchen...","Browse..."
"in_format","Dateiformat wählen...","Choose format..."
"in_file","Datei auswählen","Choose file"
"in_filetype","Dateityp","Filetype"
"inerr_title","Einlesen fehlgeschlagen","Reading Input has failed"
"inerr_1","Die Funktion","The function"
"inerr_2","konnte die Datei","was not able to read the file"
"inerr_3","nicht einlesen. Entweder passt die Funktion nicht zum Dateityp, oder die Datei ist leer. Die Dateiwird übersprungen.",". Either the Function does not fit to the filetype or the file is empty. The file is skipped."
"in_readall","Alle Dateien einlesen","Read all files"
"in_readallxDist",306,336
"in_param","Messwert wählen...","Choose measurement..."
"in_position","Position wählen...","Choose position..."
"prep_wrongplural1"," Die Parameter/Positionen ","The measurements/positions "
"prep_wrongplural2"," und "," and "
